iter	Passed	Remaining
637	1747	991
638	1749	988
639	1752	985
640	1755	983
641	1757	980
642	1760	977
643	1763	974
644	1765	971
645	1768	968
646	1770	966
647	1773	963
648	1775	960
649	1778	957
650	1780	954
651	1783	951
652	1786	949
653	1788	946
654	1791	943
655	1794	940
656	1796	938
657	1799	935
658	1802	932
659	1804	929
660	1807	926
661	1810	924
662	1812	921
663	1815	918
664	1817	915
665	1820	912
666	1822	910
667	1825	907
668	1828	904
669	1831	901
670	1833	899
671	1836	896
672	1839	893
673	1841	890
674	1844	887
675	1846	885
676	1849	882
677	1852	879
678	1854	876
679	1857	873
680	1859	871
681	1862	868
682	1865	865
683	1867	862
684	1870	860
685	1872	857
686	1875	854
687	1878	851
688	1881	849
689	1884	846
690	1886	843
691	1889	840
692	1891	838
693	1894	835
694	1897	832
695	1900	829
696	1902	827
697	1905	824
698	1907	821
699	1910	818
700	1913	816
701	1915	813
702	1918	810
703	1921	807
704	1923	804
705	1926	802
706	1929	799
707	1932	796
708	1934	794
709	1937	791
710	1940	788
711	1943	785
712	1946	783
713	1948	780
714	1951	777
715	1953	775
716	1956	772
717	1959	769
718	1961	766
719	1964	763
720	1967	761
721	1969	758
722	1972	755
723	1974	752
724	1977	750
725	1980	747
726	1982	744
727	1985	741
728	1988	739
729	1990	736
730	1993	733
731	1995	730
732	1998	727
733	2001	725
734	2004	722
735	2006	719
736	2009	717
737	2012	714
738	2015	711
739	2018	709
740	2020	706
741	2023	703
742	2026	700
743	2028	698
744	2031	695
745	2034	692
746	2036	689
747	2039	687
748	2042	684
749	2044	681
750	2047	678
751	2050	676
752	2052	673
753	2055	670
754	2058	667
755	2061	665
756	2063	662
757	2066	659
758	2069	657
759	2072	654
760	2074	651
761	2077	648
762	2080	646
763	2082	643
764	2085	640
765	2088	638
766	2091	635
767	2094	632
768	2096	629
769	2099	627
770	2102	624
771	2105	621
772	2107	618
773	2110	616
774	2113	613
775	2115	610
776	2118	607
777	2120	605
778	2123	602
779	2126	599
780	2128	596
781	2131	594
782	2134	591
783	2136	588
784	2139	585
785	2141	583
786	2144	580
787	2146	577
788	2149	574
789	2152	572
790	2154	569
791	2157	566
792	2160	563
793	2163	561
794	2165	558
795	2168	555
796	2171	552
797	2173	550
798	2176	547
799	2179	544
800	2181	542
801	2184	539
802	2187	536
803	2189	533
804	2192	531
805	2195	528
806	2197	525
807	2200	522
808	2203	520
809	2205	517
810	2208	514
811	2211	511
812	2213	509
813	2216	506
814	2218	503
815	2221	500
816	2224	498
817	2226	495
818	2229	492
819	2232	489
820	2234	487
821	2236	484
822	2239	481
823	2242	479
824	2245	476
825	2247	473
826	2250	470
827	2253	468
828	2255	465
829	2258	462
830	2260	459
831	2263	457
832	2266	454
833	2269	451
834	2272	449
835	2274	446
836	2277	443
837	2280	440
838	2282	438
839	2285	435
840	2287	432
841	2290	429
842	2293	427
843	2295	424
844	2298	421
845	2301	418
846	2304	416
847	2306	413
848	2309	410
849	2312	408
850	2314	405
851	2317	402
852	2320	399
853	2322	397
854	2325	394
855	2328	391
856	2330	388
857	2333	386
858	2336	383
859	2338	380
860	2341	378
861	2344	375
862	2347	372
863	2350	369
864	2352	367
865	2355	364
866	2358	361
867	2361	359
868	2364	356
869	2366	353
870	2369	350
871	2372	348
872	2375	345
873	2378	342
874	2380	340
875	2383	337
876	2386	334
877	2389	332
878	2392	329
879	2395	326
880	2398	323
881	2400	321
882	2404	318
883	2407	315
884	2409	313
885	2413	310
886	2416	307
887	2419	305
888	2422	302
889	2425	299
890	2427	297
891	2430	294
892	2433	291
893	2436	288
894	2439	286
895	2441	283
896	2444	280
897	2447	278
898	2450	275
899	2453	272
900	2456	269
901	2459	267
902	2461	264
903	2464	261
904	2467	259
905	2470	256
906	2473	253
907	2476	250
908	2479	248
909	2482	245
910	2485	242
911	2488	240
912	2490	237
913	2493	234
914	2496	231
915	2499	229
916	2502	226
917	2505	223
918	2508	221
919	2511	218
920	2514	215
921	2516	212
922	2519	210
923	2522	207
924	2525	204
925	2527	202
926	2530	199
927	2533	196
928	2535	193
929	2538	191
930	2541	188
931	2544	185
932	2546	182
933	2549	180
934	2552	177
935	2554	174
936	2557	171
937	2560	169
938	2562	166
939	2565	163
940	2568	161
941	2570	158
942	2573	155
943	2576	152
944	2578	150
945	2581	147
946	2584	144
947	2587	141
948	2589	139
949	2592	136
950	2595	133
951	2598	131
952	2600	128
953	2603	125
954	2606	122
955	2608	120
956	2611	117
957	2614	114
958	2617	111
959	2619	109
960	2623	106
961	2625	103
962	2628	100
963	2631	98
964	2633	95
965	2636	92
966	2639	90
967	2641	87
968	2644	84
969	2647	81
970	2650	79
971	2653	76
972	2656	73
973	2659	70
974	2662	68
975	2665	65
976	2668	62
977	2671	60
978	2674	57
979	2677	54
980	2679	51
981	2682	49
982	2685	46
983	2688	43
984	2690	40
985	2693	38
986	2696	35
987	2698	32
988	2701	30
989	2704	27
990	2706	24
991	2709	21
992	2712	19
993	2715	16
994	2718	13
995	2721	10
996	2723	8
997	2726	5
998	2729	2
999	2731	0
